('1467884067', '1468367588')
('1467884067', '1467994767')
('1467884067', '1467994780')
('1467884067', '1468024573')
('1467884067', '1467994873')
('1467884067', '1467913598')
('1467884067', '1467877253')
('1467884067', '1467994505')
('1467866214', '1467881048')
('1467894077', '1467908977')
('1468001902', '1467924024')
('1468098507', '1467900641')
('1469417723', '1467900641')
('1468279846', '1468300149')
('1467866945', '1467868090')
('1467866276', '1467868189')
('1467877470', '1467924024')
('1468098073', '1468330541')
('1468164446', '1468300204')
('1468164446', '1468300165')
('1468164446', '1467899329')
('1468164446', '1468098690')
('1468164446', '1468278206')
('1468164446', '1468300109')
('1468164446', '1468300157')
('1468164446', '1468300141')
('1467900641', '1467899329')
('1467900641', '1467983806')
('1467871406', '2756730')
('1467871406', '1467936701')
('1467878427', '1469412359')
('1467878427', '1468040461')
('1469335184', '667034166')
('213775159', '1468045664')
('1467878398', '1467938196')
('1467977461', '1468045856')
('1468045856', '5443990')
('1468045856', '1468022095')
('1468045856', '1468045664')
('2908595', '1468022095')
('2908595', '1468045664')
('1468045664', '667034166')
('1468045664', '1569599634')
('1468045664', '1469293825')
('1467899329', '1468300117')
('1468098265', '1468300149')
('1468098265', '1468300220')
('1468300149', '1468097922')
('1468300149', '1468097930')
('1468300149', '1467986387')
('1468300149', '1467986365')
('1468300149', '1469341199')
('1468097922', '1468300212')
('1468097930', '1468300173')
('1467986387', '1467986254')
('1467986365', '1468095317')
('1467986365', '1468299981')
('1468095317', '1468299981')
('1468098297', '1468299981')
('1468299981', '1468291257')
('1468299981', '1468300117')
('2756730', '667034166')
('1468279798', '1468330541')
('1468300141', '1468300117')
('1469334816', '1569599634')
('1467865531', '54482363')
('1467865531', '1467867437')
('1467865531', '1468018184')
('1467865936', '1467903511')
('1467871989', '1468190412')
('1467865967', '1467899424')
('1467865623', '1467886913')
('1467970452', '1569575885')
('1467867043', '1469334213')
('1467870119', '1467975900')
('1467870119', '1469347702')
('1467870119', '1467979338')
('1467870119', '1467976152')
('1467870119', '1467979959')
('1467870119', '5445294')
('1467870119', '1467979949')
('1467870119', '1467979977')
('1467870119', '1467975262')
('1467870119', '1467975816')
('1467870119', '1467919673')
('1467870119', '1467975826')
('1468004899', '1569575885')
('1467884067', '1467918460')
('1467884067', '1467983806')
('1467884067', '1468374902')
('1467884067', '1468374958')
('1467884067', '1468002124')
('1467884067', '1467994859')
('1467884067', '1468374966')
('1467884067', '1467871630')
('1467884067', '1468363743')
('1467884067', '1468346523')
('1467884067', '1468346515')
('1467866214', '1469396875')
('1467866945', '1467881193')
('1467866276', '1569604472')
('1467866276', '1467869624')
('1468164446', '1468300228')
('1468164446', '1468300125')
('1468164446', '1468300244')
('1467871406', '1467977475')
('1467868189', '1469335069')
('1467868189', '1467917156')
('1468097922', '1468324992')
('1468098297', '1468300125')
('1467983806', '1468324992')
('1467936701', '1468045657')
('1467869624', '1467986599')
('1468300117', '1468300125')
('1467894952', '1468050141')
('1467894952', '1468098234')
('1468370053', '1468050141')
('1467869473', '1467897398')
('1467865531', '1468048803')
('1467869144', '1467894435')
('1467866388', '1468048803')
('1467865623', '1468039828')
('1467866345', '1468048803')
('1467870119', '1467976024')
('1467870119', '1569780246')
('1467884067', '1468277679')
('1467884067', '1468278924')
('1467884067', '644220474')
('1467884067', '1468039807')
('1467884067', '1468048408')
('1467884067', '1468373202')
('1467866276', '1468299262')
('1468164446', '1468162361')
('1467878398', '1468009211')
('1469360212', '1468307954')
('1569604472', '1569604268')
('1468299262', '1468162361')
('1467867255', '1569604268')
('1467866345', '1468018184')
('1467866249', '2604439920')
('1467865652', '1468049134')
