reactionsA/ECA	reactionsB/ECB	Tanimoto_FBI_Scores	 TL0	TL1	TL2	TL3	TL4	TL5	TL6	TL7
R02541(r)/3.1.4A1(rev)/3.1.4.12;	2/3.1.1A1;	0.0564103	0.555556	0.333333	0.128205	0.142857	0.0697674	0.0307692	0.0106383	0.00826446
R10604(r)/3.1.1A1(rev)/;	2/3.1.1A1;	0.056051	0.75	0.416667	0.209302	0.0571429	0.0430108	0.0223881	0.0114943	0
R02659/3.1.1A1(rev)/;	2/3.1.1A1;	0.056051	0.75	0.416667	0.209302	0.0571429	0.0430108	0.0223881	0.0114943	0
R01519(r)/3.1.1A1(rev)/3.1.1.17;	2/3.1.1A1;	0.056051	0.75	0.416667	0.209302	0.0571429	0.0430108	0.0223881	0.0114943	0
R02542/3.1.4A1/3.1.4.41;	2/3.1.1A1;	0.055207	0.555556	0.333333	0.128205	0.142857	0.0689655	0.0300752	0.0104712	0.00793651
R02542(r)/3.1.4A1(rev)/3.1.4.41;	2/3.1.1A1;	0.055207	0.555556	0.333333	0.128205	0.142857	0.0689655	0.0300752	0.0104712	0.00793651
R09840/3.1.2A1/;	2/3.1.1A1;	0.0539773	0.428571	0.333333	0.2	0.146341	0.0833333	0.0330579	0.0233918	0.00816327
R02997/3.1.1A1/3.1.1.42;	2/3.1.1A1;	0.0536481	1	0.625	0.3125	0.111111	0.0566038	0.0172414	0.00851064	0
R02997/3.1.1A1/3.1.1.42;	2/3.1.1A1;	0.0536481	1	0.625	0.3125	0.111111	0.0566038	0.0172414	0.00851064	0
R02992/3.1.1A1/3.1.1.27;	2/3.1.1A1;	0.0536131	1	0.625	0.294118	0.123077	0.0458716	0.00617284	0	0
R04593(r)/3.1.1A1/;	2/3.1.1A1;	0.0534262	1	0.625	0.354839	0.126984	0.0458716	0	0	0
R04593(r)/3.1.1A1/;	2/3.1.1A1;	0.0534262	1	0.625	0.3125	0.126984	0.0458716	0.00609756	0	0
R03641(r)/3.1.1A1(rev)/3.1.1.37;	2/3.1.1A1;	0.0533549	0.75	0.454545	0.227273	0.0921053	0.0542636	0.0375587	0.025641	0.00941176
R07294/3.1.2A1/3.1.2.25;	2/3.1.1A1;	0.0532213	0.428571	0.333333	0.185185	0.133333	0.0821918	0.0327869	0.0232558	0.00813008
R08255/3.1.1A1/3.1.1.1;	2/3.1.1A1;	0.0531532	0.714286	0.473684	0.210526	0.107692	0.0714286	0.0412371	0.0145985	0.0126904
R08942(r)/3.1.6A1/3.1.6.2;	2/3.1.1A1;	0.0530387	0.428571	0.238095	0.105263	0.12766	0.0786517	0.0519481	0.0414747	0.00923077
R08942/3.1.6A1(rev)/3.1.6.2;	2/3.1.1A1;	0.0530387	0.428571	0.238095	0.105263	0.12766	0.0786517	0.0519481	0.0414747	0.00923077
R08941(r)/3.1.6A1/3.1.6.2;	2/3.1.1A1;	0.0530387	0.428571	0.238095	0.105263	0.12766	0.0786517	0.0519481	0.0414747	0.00923077
R08941/3.1.6A1(rev)/3.1.6.2;	2/3.1.1A1;	0.0530387	0.428571	0.238095	0.105263	0.12766	0.0786517	0.0519481	0.0414747	0.00923077
R03404(r)/3.1.6A1(rev)/3.1.6.2;	2/3.1.1A1;	0.0530387	0.428571	0.238095	0.105263	0.12766	0.0786517	0.0519481	0.0414747	0.00923077
R03404/3.1.6A1/3.1.6.2;	2/3.1.1A1;	0.0530387	0.428571	0.238095	0.105263	0.12766	0.0786517	0.0519481	0.0414747	0.00923077
R02381/3.1.1A1/3.1.1.49;	2/3.1.1A1;	0.052356	1	0.714286	0.307692	0.145833	0.0379747	0	0	0
R02381/3.1.1A1/3.1.1.49;	2/3.1.1A1;	0.052356	1	0.714286	0.307692	0.145833	0.0379747	0	0	0
R02427(r)/3.1.1A1(rev)/;	2/3.1.1A1;	0.0519126	0.75	0.391304	0.210526	0.0655738	0.0361446	0.0162602	0	0
R11242(r)/3.1.1A1(rev)/3.1.1.99;	2/3.1.1A1;	0.0515222	0.75	0.416667	0.209302	0.0526316	0.0380952	0.0201342	0.0104167	0
R04490/3.1.1A1/3.1.1.54;	2/3.1.1A1;	0.0515152	1	0.833333	0.428571	0.0789474	0	0	0	0
R02035(r)/3.1.1A1(rev)/3.1.1.31;	2/3.1.1A1;	0.0512224	0.75	0.416667	0.209302	0.0555556	0.038835	0.0198675	0.0102564	0
R11541/3.1.1A1/3.1.1.102;	2/3.1.1A1;	0.0508055	1	0.625	0.290323	0.134615	0.0224719	0.00675676	0	0
R11541/3.1.1A1/3.1.1.102;	2/3.1.1A1;	0.0508055	1	0.625	0.290323	0.134615	0.0224719	0.00675676	0	0
R04608/3.1.1A1/3.1.1.59;	2/3.1.1A1;	0.0506706	1	0.571429	0.28	0.0697674	0.028169	0.00892857	0	0.004329
R08150/3.1.1A1/3.1.1.59;	2/3.1.1A1;	0.0506706	1	0.571429	0.28	0.0697674	0.028169	0.00892857	0	0.004329
R08149/3.1.1A1/3.1.1.59;	2/3.1.1A1;	0.0506706	1	0.571429	0.28	0.0697674	0.028169	0.00892857	0	0.004329
R10983/3.1.1A1/3.1.1.59;	2/3.1.1A1;	0.0505201	1	0.571429	0.28	0.0697674	0.028169	0.00892857	0	0.00429185
R04043/3.1.1A1/3.1.1.71;	2/3.1.1A1;	0.0503049	1	0.714286	0.285714	0.0666667	0	0	0	0
R08183/3.1.2A1/3.1.2.2;	2/3.1.1A1;	0.0502959	0.428571	0.333333	0.2	0.097561	0.0588235	0.0350877	0.0245399	0.00847458
R08179/3.1.2A1/3.1.2.2;	2/3.1.1A1;	0.0502959	0.428571	0.333333	0.2	0.097561	0.0588235	0.0350877	0.0245399	0.00847458
R08180/3.1.2A1/3.1.2.2;	2/3.1.1A1;	0.0502959	0.428571	0.333333	0.2	0.097561	0.0588235	0.0350877	0.0182927	0.012766
R02992/3.1.1A1/3.1.1.27;	2/3.1.1A1;	0.0499419	1	0.625	0.333333	0.106061	0.027027	0	0	0
R02942/3.1.1A1/3.1.1.55;	2/3.1.1A1;	0.0497312	1	0.714286	0.310345	0.0943396	0.0111111	0	0	0
R09723/3.1.1A1/3.2.1.175;	2/3.1.1A1;	0.0492881	1	0.625	0.257143	0.0793651	0.0280374	0.011976	0.00888889	0.00694444
R00054/3.1.1A1/3.1.1.40;	2/3.1.1A1;	0.048951	1	0.555556	0.282051	0.123288	0.046875	0.00515464	0	0
R00054/3.1.1A1/3.1.1.40;	2/3.1.1A1;	0.048951	1	0.555556	0.282051	0.123288	0.046875	0.00515464	0	0
R08181/3.1.2A1/3.1.2.2;	2/3.1.1A1;	0.0487445	0.428571	0.333333	0.2	0.097561	0.0588235	0.026087	0.0182927	0.012766
R04119/3.1.1A1/3.1.1.51;	2/3.1.1A1;	0.0486565	1	0.625	0.314286	0.138889	0.0588235	0.0257511	0.0194986	0.00583658
R06522(r)/3.1.3A1(rev)/3.1.3.4;	2/3.1.1A1;	0.048433	0.444444	0.2	0.117647	0.116279	0.0694444	0.0344828	0.0120482	0.00858369
R06522/3.1.3A1/3.1.3.4;	2/3.1.1A1;	0.048433	0.444444	0.2	0.117647	0.116279	0.0694444	0.0344828	0.0120482	0.00858369
R04191/3.1.1A1/3.1.1.43;	2/3.1.1A1;	0.047619	0.833333	0.5	0.333333	0.1	0	0	0	0
R11240/3.1.3A1/3.1.3.101;	2/3.1.1A1;	0.047619	0.444444	0.2	0.117647	0.0909091	0.0675676	0.023622	0.0218579	0.015625
R11240(r)/3.1.3A1(rev)/3.1.3.101;	2/3.1.1A1;	0.047619	0.444444	0.2	0.117647	0.0909091	0.0675676	0.023622	0.0218579	0.015625
R02228(r)/3.1.3A1(rev)/3.1.3.39;	2/3.1.1A1;	0.047384	0.444444	0.238095	0.121951	0.12069	0.0666667	0.0337079	0.024	0.0116959
R02228/3.1.3A1/3.1.3.39;	2/3.1.1A1;	0.047384	0.444444	0.238095	0.121951	0.12069	0.0666667	0.0337079	0.024	0.0116959
R10705/3.1.1A1/;	2/3.1.1A1;	0.0473083	1	0.666667	0.368421	0.0588235	0	0	0	0
R07902/3.1.2A1/;	2/3.1.1A1;	0.0472335	0.428571	0.333333	0.2	0.119048	0.0666667	0.0230769	0.0162162	0.0117647
R09840(r)/3.1.2A1(rev)/;	2/3.1.1A1;	0.0465444	0.428571	0.333333	0.153846	0.119048	0.0684932	0.0245902	0.0174419	0.00816327
R09840(r)/3.1.2A1(rev)/;	2/3.1.1A1;	0.0465444	0.428571	0.333333	0.153846	0.119048	0.0684932	0.0245902	0.0174419	0.00816327
R01029/3.1.1A1/3.1.1.8;	2/3.1.1A1;	0.0465116	0.833333	0.571429	0.2	0.125	0.0298507	0	0	0
R02541/3.1.3A1/3.1.4.12;	2/3.1.1A1;	0.0463918	0.444444	0.238095	0.105263	0.0943396	0.0697674	0.0307692	0.0106383	0.00826446
R03537/3.1.3A1/3.1.4.16;	2/3.1.1A1;	0.0463287	0.444444	0.272727	0.111111	0.112676	0.0620155	0.04	0.0253623	0.0078329
R09105/3.1.1A1/;	2/3.1.1A1;	0.046083	1	0.555556	0.243243	0.111111	0.0181818	0	0	0
R09105/3.1.1A1/;	2/3.1.1A1;	0.046083	1	0.555556	0.243243	0.111111	0.0181818	0	0	0
R09105/3.1.1A1/;	2/3.1.1A1;	0.046083	1	0.555556	0.243243	0.111111	0.0181818	0	0	0
R09105/3.1.1A1/;	2/3.1.1A1;	0.046083	1	0.555556	0.243243	0.111111	0.0181818	0	0	0
R09105/3.1.1A1/;	2/3.1.1A1;	0.046083	1	0.555556	0.243243	0.111111	0.0181818	0	0	0
R03624/3.1.1A1/3.1.1.36;	2/3.1.1A1;	0.0460327	1	0.555556	0.244444	0.130435	0.0632184	0.0353357	0.0167464	0.00492611
R08462/3.1.1A1/3.1.1.36;	2/3.1.1A1;	0.045977	1	0.555556	0.244444	0.130435	0.0632184	0.0353357	0.0167464	0.00490998
R07294(r)/3.1.2A1(rev)/3.1.2.25;	2/3.1.1A1;	0.0458971	0.428571	0.333333	0.142857	0.108696	0.0675676	0.0243902	0.017341	0.00813008
R07294(r)/3.1.2A1(rev)/3.1.2.25;	2/3.1.1A1;	0.0458971	0.428571	0.333333	0.142857	0.108696	0.0675676	0.0243902	0.017341	0.00813008
R01423(r)/3.1.4A1(rev)/3.6.1.20;	2/3.1.1A1;	0.0456961	0.555556	0.363636	0.136364	0.0952381	0.05	0.0186335	0.0133333	0.00649351
R01423(r)/3.1.4A1(rev)/3.6.1.20;	2/3.1.1A1;	0.0456961	0.555556	0.363636	0.136364	0.0952381	0.05	0.0186335	0.0133333	0.00649351
R01423/3.1.4A1/3.6.1.20;	2/3.1.1A1;	0.0456961	0.555556	0.363636	0.136364	0.0952381	0.05	0.0186335	0.0133333	0.00649351
R04452/3.1.1A1/3.1.1.47;	2/3.1.1A1;	0.0455172	1	0.714286	0.285714	0.0638298	0	0	0	0
R03062/3.1.1A1/3.1.1.41;	2/3.1.1A1;	0.0454545	1	0.833333	0.391304	0.0681818	0	0	0	0.00364964
R01706/3.1.2A1/2.3.1.85,3.1.2.14;	2/3.1.1A1;	0.0449612	0.428571	0.333333	0.217391	0.105263	0.0634921	0.0280374	0.0127389	0
R04014/3.1.2A1/3.1.2.14,3.1.2.21;	2/3.1.1A1;	0.0449612	0.428571	0.333333	0.217391	0.105263	0.0634921	0.0280374	0.0127389	0
R02814/3.1.2A1/3.1.2.14;	2/3.1.1A1;	0.0449612	0.428571	0.333333	0.217391	0.105263	0.0634921	0.0280374	0.0127389	0
R08157/3.1.2A1/3.1.2.21;	2/3.1.1A1;	0.0449612	0.428571	0.333333	0.217391	0.105263	0.0634921	0.0280374	0.0127389	0
R08163/3.1.2A1/3.1.2.14;	2/3.1.1A1;	0.0449612	0.428571	0.333333	0.217391	0.105263	0.0634921	0.0280374	0.0127389	0
R08162/3.1.2A1/3.1.2.14;	2/3.1.1A1;	0.0449612	0.428571	0.333333	0.217391	0.105263	0.0634921	0.0280374	0.0127389	0
R08159/3.1.2A1/3.1.2.14;	2/3.1.1A1;	0.0449612	0.428571	0.333333	0.217391	0.105263	0.0634921	0.0280374	0.0127389	0
R08158/3.1.2A1/3.1.2.21;	2/3.1.1A1;	0.0449612	0.428571	0.333333	0.217391	0.105263	0.0634921	0.0280374	0.0127389	0
R01690(r)/3.1.4A1(rev)/3.6.1.20;	2/3.1.1A1;	0.0445205	0.555556	0.363636	0.142857	0.0862069	0.0434783	0.0206897	0.0144928	0
R01690/3.1.4A1/3.6.1.20;	2/3.1.1A1;	0.0445205	0.555556	0.363636	0.142857	0.0862069	0.0434783	0.0206897	0.0144928	0
R04999(r)/3.1.1A1/;	2/3.1.1A1;	0.0444994	1	0.625	0.272727	0.0666667	0.0103093	0	0	0
R04999(r)/3.1.1A1/;	2/3.1.1A1;	0.0444994	1	0.625	0.272727	0.0666667	0.0103093	0	0	0
R04999(r)/3.1.1A1/;	2/3.1.1A1;	0.0444994	1	0.625	0.272727	0.0666667	0.0103093	0	0	0
R01241(r)/3.1.1A1/3.1.1.2;	2/3.1.1A1;	0.0444763	1	0.714286	0.241379	0.0416667	0	0	0	0
R01241(r)/3.1.1A1/3.1.1.2;	2/3.1.1A1;	0.0444763	1	0.714286	0.241379	0.0416667	0	0	0	0
R07342/3.1.1A1/3.1.1.2;	2/3.1.1A1;	0.0444763	1	0.714286	0.241379	0.0416667	0	0	0	0
R07342/3.1.1A1/3.1.1.2;	2/3.1.1A1;	0.0444763	1	0.714286	0.241379	0.0416667	0	0	0	0
R11187/3.1.2A1/3.1.2.31;	2/3.1.1A1;	0.0440061	0.428571	0.333333	0.217391	0.1	0.0597015	0.0272727	0.0124224	0
