ENTRY;GENERATION;INCHICODE;INCHIKEY;SMILES;FORMULA
668;1;OXLNXOQITJUNSQ;OXLNXOQITJUNSQ-UHFFFAOYSA-N;CNCC(=O)N1C(C(=O)OC)CC2=C(NC3=[C+]2(C)C=CC=C3)C1C1=CC2=C(C=C1)OCO2;
669;1;HNDCRYXQCSOHNG;HNDCRYXQCSOHNG-UHFFFAOYSA-N;CNCC(=O)N1C(C(=O)OC)C[C+]2(C)=C(NC3=C2C=CC=C3)C1C1=CC2=C(C=C1)OCO2;
670;1;GQPBACJHHKEWCM;GQPBACJHHKEWCM-UHFFFAOYSA-N;CNCC(=O)N1C(C(=O)[O+](C)C)CC2=C(NC3=C2C=CC=C3)C1C1=CC2=C(C=C1)OCO2;
671;1;OXLNXOQITJUNSQ;OXLNXOQITJUNSQ-UHFFFAOYSA-N;CNCC(=O)N1C(C(=O)OC)CC2=C(NC3=CC=CC=[C+]32C)C1C1=CC=C2OCOC2=C1;
672;1;HNDCRYXQCSOHNG;HNDCRYXQCSOHNG-UHFFFAOYSA-N;CNCC(=O)N1C(C(=O)OC)C[C+]2(C)=C(NC3=CC=CC=C32)C1C1=CC=C2OCOC2=C1;
673;1;KHMVODBKPXEFHO;KHMVODBKPXEFHO-UHFFFAOYSA-N;CNCC(=O)N1C(C(=O)OC)CC2=C(NC3=CC=CC=C32)C1[C+]1(C)=CC=C2OCOC2=C1;
674;1;CXZIMCVZIBKOSM;CXZIMCVZIBKOSM-UHFFFAOYSA-N;CNCC(=O)[N+]1(C)C(C(=O)OC)CC2=C(NC3=CC=CC=C32)C1C1=CC=C2OCOC2=C1;
675;1;GQPBACJHHKEWCM;GQPBACJHHKEWCM-UHFFFAOYSA-N;CNCC(=O)N1C(C(=O)[O+](C)C)CC2=C(NC3=CC=CC=C32)C1C1=CC=C2OCOC2=C1;
676;1;AWWGOXBMGQVASB;AWWGOXBMGQVASB-UHFFFAOYSA-N;CNCC(=O)N1C(C(=O)OC)CC2=C(NC3=CC=CC=C32)C1C1=CC=C2OC[O+](C)C2=C1;
677;1;VKTKDNLBBHKEDJ;VKTKDNLBBHKEDJ-UHFFFAOYSA-N;CNCC(=O)N1C(C(=O)OC)CC2=C(NC3=CC=CC=C32)C1C1=CC=C2C(=C1)OC[O+]2C;
678;1;ZJUKTBDSGOFHSH;ZJUKTBDSGOFHSH-UHFFFAOYSA-O;[H]OC(=O)C(N)CC[S+]([H])CC1OC(n2cnc3c(N)ncnc32)C(O)C1O;
679;1;QTXRHPSETAONKG;QTXRHPSETAONKG-UHFFFAOYSA-N;CCNCC(=O)N1C(C(=O)OC)Cc2c([nH]c3ccccc23)C1c1ccc2c(c1)OCO2;
680;1;YNXHCOKAOIHPCI;YNXHCOKAOIHPCI-UHFFFAOYSA-N;CNCC(=O)N1C(C(=O)OC)Cc2c([nH]c3ccccc23)C1c1ccc2c(c1)OC(C)O2;
681;1;AYDRPWJBXXRLNV;AYDRPWJBXXRLNV-UHFFFAOYSA-N;CCOC(=O)C1Cc2c([nH]c3ccccc23)C(c2ccc3c(c2)OCO3)N1C(=O)CNC;
682;1;FFFHZYDWPBMWHY;FFFHZYDWPBMWHY-UHFFFAOYSA-N;[H]SCCC(N)C(=O)O;
683;1;CAAULPUQFIIOTL;CAAULPUQFIIOTL-UHFFFAOYSA-N;COP(=O)(O)O;
684;1;XUSLWCPIFLONKY;XUSLWCPIFLONKY-UHFFFAOYSA-N;COC(=O)C1Cc2c([nH]c3ccccc23)C(c2ccc3c(c2)OCO3)N1C(=O)COP(=O)(O)O;
685;1;QMJRCLGIUWYBFC;QMJRCLGIUWYBFC-UHFFFAOYSA-N;[H]C(NC)C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O;
686;1;WUIFVWMXATZQEM;WUIFVWMXATZQEM-UHFFFAOYSA-N;[H]C1(C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC2OC(n3cnc4c(N)ncnc43)C(O)C2OP(=O)(O)O)Cc2c([nH]c3ccccc23)C(c2ccc3c(c2)OCO3)N1C(=O)CNC;
687;1;CEWURRIAJPXJCA;CEWURRIAJPXJCA-UHFFFAOYSA-N;COC(=O)C1Cc2c([nH]c3ccccc23)C(c2ccc3c(c2)OCO3)N1C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O;
688;1;HSTUJKSHFRCJKI;HSTUJKSHFRCJKI-UHFFFAOYSA-N;COC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O;
689;1;QMJRCLGIUWYBFC;QMJRCLGIUWYBFC-UHFFFAOYSA-N;CNCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O;
690;1;XUYQNZWPCHHQAY;XUYQNZWPCHHQAY-UHFFFAOYSA-N;COC(=O)C1Cc2c([nH]c3ccccc23)C(c2ccc3c(c2)OCO3)N1C(=O)CN(C)C1OC(CO)C(O)C(O)C1O;
691;1;XCCTYIAWTASOJW;XCCTYIAWTASOJW-UHFFFAOYSA-N;[H]OP(=O)(O)OP(=O)(O)OCC1OC(n2ccc(=O)[nH]c2=O)C(O)C1O;
692;1;QNJHWTNSNYJNOA;QNJHWTNSNYJNOA-UHFFFAOYSA-N;COC(=O)C1Cc2c([nH]c3ccccc23)C(c2ccc3c(c2)OCO3)N1C(=O)CNCC1OC(CO)C(O)C(O)C1O;
693;1;LMLNJVBXJYDCPX;LMLNJVBXJYDCPX-UHFFFAOYSA-N;CNC(C(=O)N1C(C(=O)OC)Cc2c([nH]c3ccccc23)C1c1ccc2c(c1)OCO2)C1OC(CO)C(O)C(O)C1O;
694;1;RPBOAWAVSHEYPA;RPBOAWAVSHEYPA-UHFFFAOYSA-N;CNCC(=O)N1C(c2ccc3c(c2)OCO3)c2[nH]c3ccccc3c2CC1(C(=O)OC)C1OC(CO)C(O)C(O)C1O;
695;1;LCZDUMWAHYODSB;LCZDUMWAHYODSB-UHFFFAOYSA-N;CNCC(=O)N1C(C(=O)OC)Cc2c([nH]c3ccccc23)C1(c1ccc2c(c1)OCO2)C1OC(CO)C(O)C(O)C1O;
696;1;RAHWNRDVLRHBHT;RAHWNRDVLRHBHT-UHFFFAOYSA-N;CNCC(=O)N1C(c2ccc3c(c2)OCO3)c2[nH]c3ccccc3c2C(C2OC(CO)C(O)C(O)C2O)C1C(=O)OC;
697;1;VPPHTDVQJPKUNL;VPPHTDVQJPKUNL-UHFFFAOYSA-N;CNCC(=O)N1C(C(=O)OC)Cc2c(n(C3OC(CO)C(O)C(O)C3O)c3ccccc23)C1c1ccc2c(c1)OCO2;
698;1;UBTPBCLCUMAQFM;UBTPBCLCUMAQFM-UHFFFAOYSA-N;CNCC(=O)N1C(C(=O)OC)Cc2c([nH]c3ccccc23)C1c1ccc2c(c1C1OC(CO)C(O)C(O)C1O)OCO2;
699;1;CJZPDDMGCTVSBQ;CJZPDDMGCTVSBQ-UHFFFAOYSA-N;CNCC(=O)N1C(C(=O)OC)Cc2c([nH]c3ccccc23)C1c1cc2c(c(C3OC(CO)C(O)C(O)C3O)c1)OCO2;
700;1;KHPUTOYQKHJVBG;KHPUTOYQKHJVBG-UHFFFAOYSA-N;CNCC(=O)N1C(C(=O)OC)Cc2c([nH]c3ccccc23)C1c1cc2c(cc1C1OC(CO)C(O)C(O)C1O)OCO2;
701;1;RYEIWEVNHMMHAQ;RYEIWEVNHMMHAQ-UHFFFAOYSA-N;CNCC(=O)N1C(C(=O)OC)Cc2c([nH]c3ccccc23)C1c1ccc2c(c1)OC(C1OC(CO)C(O)C(O)C1O)O2;
702;1;LAQUCUDPXWWEKJ;LAQUCUDPXWWEKJ-UHFFFAOYSA-N;CNCC(=O)N1C(C(=O)OC)Cc2c([nH]c3c(C4OC(CO)C(O)C(O)C4O)cccc23)C1c1ccc2c(c1)OCO2;
703;1;JGPYIFLQGSBKGC;JGPYIFLQGSBKGC-UHFFFAOYSA-N;CNCC(=O)N1C(C(=O)OC)Cc2c([nH]c3cccc(C4OC(CO)C(O)C(O)C4O)c23)C1c1ccc2c(c1)OCO2;
704;1;TWTIGUQHUYOAJT;TWTIGUQHUYOAJT-UHFFFAOYSA-N;CNCC(=O)N1C(C(=O)OC)Cc2c([nH]c3cc(C4OC(CO)C(O)C(O)C4O)ccc23)C1c1ccc2c(c1)OCO2;
705;1;DOXLTCGAPVWAPA;DOXLTCGAPVWAPA-UHFFFAOYSA-N;CNCC(=O)N1C(C(=O)OC)Cc2c([nH]c3ccc(C4OC(CO)C(O)C(O)C4O)cc23)C1c1ccc2c(c1)OCO2;
706;1;YYDKPKHXVFPBCD;YYDKPKHXVFPBCD-UHFFFAOYSA-N;CNCC(=O)N1C(C(=O)OCC2OC(CO)C(O)C(O)C2O)Cc2c([nH]c3ccccc23)C1c1ccc2c(c1)OCO2;
707;1;YRBGAZLTLQDJPV;YRBGAZLTLQDJPV-UHFFFAOYSA-N;COC(=O)C1Cc2c([nH]c3ccccc23)C(c2ccc3c(c2)OCO3)N1C(=O)CNCC1OC(C(=O)O)C(O)C(O)C1O;
708;1;UBYSKWYIAVOAOW;UBYSKWYIAVOAOW-UHFFFAOYSA-N;COC(=O)C1Cc2c([nH]c3ccccc23)C(c2ccc3c(c2)OCO3)N1C(=O)CN(C)C1OC(C(=O)O)C(O)C(O)C1O;
709;1;PJTZPEZULHMIKH;PJTZPEZULHMIKH-UHFFFAOYSA-N;CNC(C(=O)N1C(C(=O)OC)Cc2c([nH]c3ccccc23)C1c1ccc2c(c1)OCO2)C1OC(C(=O)O)C(O)C(O)C1O;
