R_PR_UID	R_PR_STOICH
1655600362	1 1467900185 + 1 1469442031 + 1 1467865578 <=> 1 1467865592 + 1 1468261150
1655638205	1 1467872719 + 1 1469442031 + 1 1467865610 + 1 1467865578 <=> 1 1467865592 + 1 1467879801 + 1 1467898352
1655741498	1 1467966634 + 1 1469442031 + 1 1467865578 <=> 1 1467865592 + 1 1467865652 + 1 1469415469
1662418041	1 1467866662 + 1 1469442031 + 1 1467865578 <=> 1 1467865592 + 1 1467873168
1734145115	1 1467881726 + 1 1469442031 + 1 1467865578 <=> 1 1467865592 + 1 1467870443
1736123815	1 1468049496 + 1 1467865592 <=> 1 1467865578 + 1 1469442031 + 1 1569603149
1736441967	1 1467870443 + 1 1467865592 <=> 1 1467865578 + 1 1469442031 + 1 1469344642
1736885335	1 1467872398 + 1 1469442031 + 1 1467865610 + 1 1467865578 <=> 1 1467865592 + 1 1467868585 + 1 1467879874
1737308143	1 1467879801 + 1 1467867813 + 1 1467865592 <=> 1 1467865578 + 1 1467865610 + 1 1467865812 + 1 1469442031
1737778040	1 1467897525 + 3 1469442031 + 2 1467865578 <=> 2 1467865592 + 2 1467879801 + 1 1467908977
1737779147	3 1467879801 + 1 1467870640 + 3 1467865592 <=> 3 1467865578 + 4 1469442031 + 1 1467967481
1738187809	1 1467868971 + 1 1467865592 <=> 1 1467865578 + 1 1469442031 + 1 1467872320
1738216252	1 1467890251 + 1 1467865592 <=> 1 1467865578 + 1 1469442031 + 1 1469310385
2070015765	1 1467879801 + 1 1467866648 + 1 1467865592 <=> 1 1467865578 + 1 1467865967 + 1 1469444647
2070015780	1 1467879801 + 1 1467871372 + 1 1467865592 <=> 1 1467865578 + 1 1467867736 + 1 1469444647
2070016088	1 1467868061 + 1 1467865592 <=> 1 1467865578 + 1 1469444647 + 1 1467894577
2070016670	1 1467891315 + 1 1467865578 <=> 1 1467865592 + 1 1469444647 + 1 1467877328
2070016962	1 1467865731 + 1 1467865578 <=> 1 1467865592 + 1 1469444647 + 1 1467879956
2070017205	1 1467868938 + 1 1467865578 <=> 1 1467865592 + 1 1469444647 + 1 1467876801
2070017257	1 1467866330 + 1 1467865578 <=> 1 1467865592 + 1 1469444647 + 1 1467884067
2070017707	1 1467866177 + 1 1467865578 <=> 1 1467865592 + 1 1467867702 + 1 1469444647
2070018264	1 1467867813 + 1 1467865578 <=> 1 1467865592 + 1 1467868986 + 1 1469444647
2070018315	1 1467877328 + 1 1467865578 <=> 1 1467865592 + 1 1467868971 + 1 1469444647
2070021722	1 1467879801 + 1 1467867117 + 1 1467865592 <=> 1 1467865578 + 1 1467868189
2070022114	1 1467866980 + 1 1467865610 + 1 1467865578 <=> 1 1467865592 + 1 1467865667 + 1 1467866731 + 1 1467879874
2070022427	1 1467879801 + 1 1467870905 + 1 1467865592 <=> 1 1467865578 + 1 1467865872
2070024715	1 1467866763 + 1 1467865592 <=> 1 1467865578 + 1 1469444647 + 1 1467879032
2070024956	1 1467870857 + 1 1467865592 <=> 1 1467865578 + 1 1467866960 + 1 1469444647
2070026481	1 1467892581 + 1 1467865578 <=> 1 1467865592 + 1 1467869144 + 1 1469444647
2070027912	1 1467867385 + 1 1467865592 <=> 1 1467865578 + 1 1469444647 + 1 1467873580
2070029351	1 1468077267 + 1 1467865578 <=> 1 1467865592 + 1 1467871664
