M_PR_UID	M_PR_NAME	M_PR_INCHIKEY	M_PR_SMILE-CAN-OB	M_PR_FORMULA	M_PR_CHARGE	M_XR_ALL_OTHER	M_XR_KEGG
383713341	(2S,3S)-2,3,5-trihydroxy-4-oxopentanoic acid	RJALOQXNTCZOJH	OCC(=O)C(C(C(=O)O)O)O	C5H8O6	0.0		
383753545	[5-(6-aminopurin-9-yl)-4-hydroxy-2-[[[[(3R)-3-hydroxy-2,2-dimethyl-4-[[3-[2-(methylthio)ethylamino]-3-oxopropyl]amino]-4-oxobutoxy]-oxidophosphoryl]oxy-oxidophosphoryl]oxymethyl]-3-oxolanyl] phosphate	NYNSZKVCAZNSEH	CSCCNC(=O)CCNC(=O)C(C(COP(=O)(OP(=O)(OCC1OC(C(C1OP(=O)([O-])[O-])O)n1cnc2c1ncnc2N)[O-])[O-])(C)C)O	C22H34N7O16P3S----	-4.0		
384357172	S-methyl (2S)-2-amino-3-(1H-indol-3-yl)propanethioate	QOQLUEQZJXSXQJ	CSC(=O)C(Cc1c[nH]c2c1cccc2)N	C12H14N2OS	0.0		
384400007	formyl 2-hydroxyacetate	YWHLDDGOGFVWCI	OCC(=O)OC=O	C3H4O4	0.0		
384912555	(Z)-3-aminobut-2-en-2-ol	KPUUDDFOCFMPGZ	CC(=C(N)C)O	C4H9NO	0.0		
385532774	3-hydroxy-5-(3,5,7-trihydroxy-4-oxo-chromen-2-yl)-1,2-benzoquinone	ZDZCGIANJNFWNG	Oc1cc(O)c2c(c1)oc(c(c2=O)O)C1=CC(=O)C(=O)C(=C1)O	C15H8O8	0.0		
385557447	[(E)-3-hydroxyprop-1-enyl] hydrogen phosphate	LOOIOIUTCVZNDU	OCC=COP(=O)(O)[O-]	C3H6O5P-	-1.0		
385865946	1-aminobutane-2,3-dione	QRJCWWNEDMONRF	CC(=O)C(=O)CN	C4H7NO2	0.0		
388027159	(Z)-1,4,5,6,6-pentadeuterio-2,3,4,5,6-pentahydroxy-2-hexen-1-one	ADGXMKSOBBXKBS	OCC(C(C(=C(C=O)O)O)O)O	C6H10O6	0.0		
388043321	2-hydroxycyclohexa-1,5-diene-1-carboxylic acid	KMVQCHXKYQEOOJ	OC1=C(C=CCC1)C(=O)O	C7H8O3	0.0		
388612627	(1Z,4E)-1-hydroxyhexa-1,4-dien-3-one	OUWWRVXPWMZBRI	CC=CC(=O)C=CO	C6H8O2	0.0		
389520781	(5R)-5-hydroxy-2,6-dioxoheptanoate	CRZVSWKVLDRUSA	OC(C(=O)C)CCC(=O)C(=O)[O-]	C7H9O5-	-1.0		
391216900	(Z)-3-formyloxyprop-2-enoic acid	KTJWRRBVKDHSCE	O=COC=CC(=O)O	C4H4O4	0.0		
391551087	3,4-dihydroxy-5-oxo-1-cyclohexa-1,3-dienecarboxylic acid	CAHXXNVAMSEEDV	OC(=O)C1=CC(=C(C(=O)C1)O)O	C7H6O5	0.0		
392312547	1-hydroxyvinyl formate	ASDWGNJCQUOTHP	OC(=C)OC=O	C3H4O3	0.0		
395629577	(2R,3R,4S)-3,4-dihydroxy-5-oxo-2-oxolanecarboxylic acid	BSPZKKBWTBYQOH	OC(=O)C1OC(=O)C(C1O)O	C5H6O6	0.0		
396979092	(2R)-2,3,3-trihydroxypropanoic acid	JLQOMQVZUFQCTG	OC(C(C(=O)O)O)O	C3H6O5	0.0		
398180399	2-formyl-6-oxohexanoic acid	WNRCXMBAHOSOTC	O=CCCCC(C(=O)O)C=O	C7H10O4	0.0		
398757127	(2S)-2-(diaminomethylamino)butanedioic acid	HGXANPZXBQBHFD	NC(NC(C(=O)O)CC(=O)O)N	C5H11N3O4	0.0		
400170526	2,4-dihydroxy-3-methylbutanoic acid	KHCLPVHWLZPPOM	OCC(C(C(=O)O)O)C	C5H10O4	0.0		
404211821	3-aminobut-1-en-2-ol	PVBUWDBIYINDDV	CC(C(=C)O)N	C4H9NO	0.0		
405245109	(1R)-2-amino-1-cyclohexa-2,4-dien-1-yl-ethanol	VPTLVPMAWIREJW	NCC(C1CC=CC=C1)O	C8H13NO	0.0		
405416921	1,1-dihydroxy-3-methyl-2-butanone	YBONWZJSBOAPEG	O=C(C(O)O)C(C)C	C5H10O3	0.0		
407054084	5,5-dihydroxy-2-oxopentanoic acid	JOMFSWONXAWOIB	OC(CCC(=O)C(=O)O)O	C5H8O5	0.0		
407769236	1-butene-1,2,3-triol	PBOWIYLZAXQPEZ	OC=C(C(O)C)O	C4H8O3	0.0		
409201874	(Z)-1,3,4-trihydroxybut-3-en-2-one	USMJFAVPWUHCNK	OCC(=O)C(=CO)O	C4H6O4	0.0		
410901680	S-[2-[3-[[4-[[[5-(6-amino-1,2-dihydropurin-9-yl)-4-hydroxy-3-phosphonooxy-tetrahydrofuran-2-yl]methoxy-hydroxy-phosphoryl]oxy-hydroxy-phosphoryl]oxy-2-hydroxy-3,3-dimethyl-butanoyl]amino]propanoylamino]ethyl] ethanethioate	VXQVNEPVKISMOZ	O=C(NCCSC(=O)C)CCNC(=O)C(C(COP(=O)(OP(=O)(OCC1OC(C(C1OP(=O)(O)O)O)n1cnc2=C(NCN=c12)N)O)O)(C)C)O	C23H40N7O17P3S	0.0		
410917916	(2R)-2-(hydroxyamino)-3-(4-hydroxyphenyl)propanal	LSPHFFWTVGDDHR	ONC(Cc1ccc(cc1)O)C=O	C9H11NO3	0.0		
411249412	1,1-dihydroxybutane-2,3-dione	BGUUKCKVXPGTRH	OC(C(=O)C(=O)C)O	C4H6O4	0.0		
411704427	1-amino-1-hydroxy-2-propanone	XOYKTRMLYPQGBG	CC(=O)C(O)N	C3H7NO2	0.0		
412223032	1,6-diaminohexan-2-one	QXZMRGGFFBZHMD	NCCCCC(=O)CN	C6H14N2O	0.0		
424092744	4-hydroxy-2-[(4-hydroxybenzoyl)amino]butanoic acid	IDCXXTWNFPWFHZ	OCCC(C(=O)O)NC(=O)c1ccc(cc1)O	C11H13NO5	0.0		
428869604	3-(3-chloro-4-hydroxyphenyl)-2-oxopropanoic acid	UVZXGDOSSJNLRF	OC(=O)C(=O)Cc1ccc(c(c1)Cl)O	C9H7ClO4	0.0		
465115687	N-(7H-purin-6-yl)formamide	YHNZVIUHARVGLV	O=CNc1ncnc2c1[nH]cn2	C6H5N5O	0.0		
486598462	4-[(2S)-2,3-diamino-3-hydroxypropyl]phenol	XWQINQUHTRCZFU	NC(C(Cc1ccc(cc1)O)N)O	C9H14N2O2	0.0		
487223084	1,1-dihydroxy-3-phenyl-2-propanone	LXZQPMXUOONUMX	OC(C(=O)Cc1ccccc1)O	C9H10O3	0.0		
488452736	[(2S,5R)-5-(4-amino-2-oxo-1-pyrimidinyl)-2,5-dihydrofuran-2-yl]methyl dihydrogen phosphate	MTNQIPGCNPRASJ	Nc1ccn(c(=O)n1)C1C=CC(O1)COP(=O)(O)O	C9H12N3O6P	0.0		
488676790	3-hydroxy-2-(hydroxymethyl)-2H-furan-5-one	YCHTTWBVHGNPKY	OC1=CC(=O)OC1CO	C5H6O4	0.0		
489574670	5-hydroxy-3-oxolanone	GWLCSUVJRRUQQX	OC1CC(=O)CO1	C4H6O3	0.0		
492975986	3-(4-hydroxyphenyl)-2-(2-oxopropanoylamino)propanoic acid	VSIZDZZRYBCPDP	OC(=O)C(Cc1ccc(cc1)O)NC(=O)C(=O)C	C12H13NO5	0.0		
495092988	2-hydroxycyclohexa-2,4-diene-1-carboxylic acid	GCYDLHUOCJYQSV	OC(=O)C1CC=CC=C1O	C7H8O3	0.0		
495322595	4-hydroxy-3-oxo-1-cyclohexa-1,5-dienecarboxylic acid	KEQHSENILHESNV	O=C1C=C(C=CC1O)C(=O)O	C7H6O4	0.0		
496099903	4-(1,2-dioxopropoxy)benzoic acid	FJVRFBSBVMKUCV	O=C(C(=O)C)Oc1ccc(cc1)C(=O)O	C10H8O5	0.0		
497969970	2-cyclohexa-2,4-dien-1-yl-2-oxo-acetic acid	KSCZJPDQJRUGON	OC(=O)C(=O)C1CC=CC=C1	C8H8O3	0.0		
498733483	4-methylenecyclohexa-1,5-dien-1-ol	NMIHGARTZWRLJU	OC1=CCC(=C)C=C1	C7H8O	0.0		
498845981	(2S)-2-amino-2-cyclohexa-2,4-dien-1-yl-acetic acid	XSGZBTKJPVZRFP	OC(=O)C(C1CC=CC=C1)N	C8H11NO2	0.0		
498957756	(Z)-2-amino-3-(4-hydroxyphenyl)prop-2-enoic acid	VWVGLOXKDVGAFA	Oc1ccc(cc1)C=C(C(=O)O)N	C9H9NO3	0.0		
500013508	3-[[(2S,3R,5R,6R)-3,5-dihydroxy-6-(hydroxymethyl)-2-oxanyl]oxy]-2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-1-benzopyran-4-one	UWVJMVRWRCYECP	OCC1OC(Oc2c(oc3c(c2=O)c(O)cc(c3)O)c2ccc(c(c2)O)O)C(CC1O)O	C21H20O11	0.0		
501141808	1-(carboxymethyl)-4-hydroxy-1-cyclohexa-2,5-dienecarboxylic acid	SKOBKOWBBAPFHW	OC(=O)CC1(C=CC(C=C1)O)C(=O)O	C9H10O5	0.0		
502356155	2-oxopropanoic acid [(3R,4S,5R,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)-2-oxanyl] ester	YCNONOUEHNNXSJ	OCC1OC(OC(=O)C(=O)C)C(C(C1O)O)O	C9H14O8	0.0		
503061554	2-[[(3R,4R)-3,4,5-trihydroxy-2-oxopentyl]amino]benzoic acid	MUSQSJPPELYMDK	OCC(C(C(=O)CNc1ccccc1C(=O)O)O)O	C12H15NO6	0.0		
504864996	1-cyclohex-2-en-1-ylpropane-1,2-dione	ISBOXQOKRAOQTJ	CC(=O)C(=O)C1CCCC=C1	C9H12O2	0.0		
506854805	3-cyclohexa-2,4-dien-1-yl-2-hydroxy-prop-2-enoic acid	GJRYYTKGWBIFCY	OC(=O)C(=CC1CC=CC=C1)O	C9H10O3	0.0		
509142810	1-hydroxy-4-phenylbutane-2,3-dione	RMWQSXHSHMYULW	OCC(=O)C(=O)Cc1ccccc1	C10H10O3	0.0		
510812848	2-hydroxy-1-(2,4,6-trihydroxyphenyl)ethanone	HPPCGHJRDOZHQY	OCC(=O)c1c(O)cc(cc1O)O	C8H8O5	0.0		
511202685	phenyl 2-hydroxyprop-2-enoate	BDDGCIYMBYHZMB	O=C(C(=C)O)Oc1ccccc1	C9H8O3	0.0		
513859768	4-acetoxy-3-hydroxy-benzoic acid	SWCVVEFTNCJWOP	CC(=O)Oc1ccc(cc1O)C(=O)O	C9H8O5	0.0		
515311379	4-(2-carboxy-2-hydroxyethyl)benzoic acid	JMZVLHSYSGHFFX	OC(C(=O)O)Cc1ccc(cc1)C(=O)O	C10H10O5	0.0		
515459965	5-methylenecyclohexa-1,3-diene-1,2-diol	OGLATDLDVUMNIX	C=C1C=CC(=C(C1)O)O	C7H8O2	0.0		
515651935	(2S)-1,2-diamino-3-phenyl-1-propanol	QRXUYIKNTZLXRS	NC(C(O)N)Cc1ccccc1	C9H14N2O	0.0		
515949337	(3R)-2,3-dihydroxycyclohexa-1,5-diene-1-carboxylic acid	UUYPCVYXLDGPBU	OC1CC=CC(=C1O)C(=O)O	C7H8O4	0.0		
517482072	4-(2,3-diamino-3-hydroxypropyl)-1-cyclohexa-2,4-dienol	OGFDQAMZPYWWFQ	NC(C(CC1=CCC(C=C1)O)N)O	C9H16N2O2	0.0		
519630386	(Z)-3-hydroxy-3-(4-hydroxyphenyl)prop-2-enoic acid	RRZGPZPQGGABGZ	OC(=O)C=C(c1ccc(cc1)O)O	C9H8O4	0.0		
519714954	(2S,4R)-2,4-diamino-1-phenyl-3-pentanone	MFHIPTPXZUQIOP	NC(C(=O)C(N)C)Cc1ccccc1	C11H16N2O	0.0		
520071336	3-phenylprop-1-ene-1,1,3-triol	NNSNLCIFHDIGMA	OC(c1ccccc1)C=C(O)O	C9H10O3	0.0		
521991551	1-hydroxyvinyl 4-aminobenzoate	ZFGDCQXTPWHFMT	O=C(c1ccc(cc1)N)OC(=C)O	C9H9NO3	0.0		
522480811	phosphono 4-hydroxybenzoate	UTOJICFXSSCXLL	Oc1ccc(cc1)C(=O)OP(=O)(O)O	C7H7O6P	0.0		
522765059	cyclohexane-1,2,4-trione	NGHVTTBOPYXCFB	O=C1CCC(=O)C(=O)C1	C6H6O3	0.0		
523532216	1-amino-3-phenylpropane-1,2-diol	CUEDQHIMXMVCSK	OC(C(O)N)Cc1ccccc1	C9H13NO2	0.0		
523575329	hydroxymethyl 4-hydroxybenzoate	ZMFHGAWUJIYBJP	OCOC(=O)c1ccc(cc1)O	C8H8O4	0.0		
524387763	(2R,3R,6S)-3,6-dihydroxy-2-(hydroxymethyl)-4-oxanone	PVKLTCFYNBLGMN	OCC1OC(O)CC(=O)C1O	C6H10O5	0.0		
527968781	1-cyclohexa-2,4-dien-1-yl-3-phenyl-propan-2-one	FBLKCUWDSVSJAE	O=C(Cc1ccccc1)CC1CC=CC=C1	C15H16O	0.0		
529314623	(2S)-2,4-diamino-1-(1H-indol-3-yl)pentan-3-one	WUEABVWPWXWOES	O=C(C(Cc1c[nH]c2c1cccc2)N)C(N)C	C13H17N3O	0.0		
529547138	3-amino-1-hydroxy-4-(1H-indol-3-yl)butan-2-one	XISQAKSJEHTRCC	OCC(=O)C(Cc1c[nH]c2c1cccc2)N	C12H14N2O2	0.0		
530178488	3-(1H-indol-3-yl)-2-(2-oxopropanoylamino)propanoic acid	GIPKPJXCIVKCFF	OC(=O)C(Cc1c[nH]c2c1cccc2)NC(=O)C(=O)C	C14H14N2O4	0.0		
532002576	4-[4-(4-hydroxybenzoyl)oxybenzoyl]oxybenzoic acid	GTQUFVMYKKPEGI	Oc1ccc(cc1)C(=O)Oc1ccc(cc1)C(=O)Oc1ccc(cc1)C(=O)O	C21H14O7	0.0		
532109177	2-(1H-indol-3-yl)ethenamine	CUWQQBKIZVPCNL	NC=Cc1c[nH]c2c1cccc2	C10H10N2	0.0		
532176317	2-aminoprop-1-ene-1,3-diol	WWPCNTOMJSWVAP	OCC(=CO)N	C3H7NO2	0.0		
532218994	(2R,3R)-2,4-dihydroxy-3-[(1R)-1-hydroxy-2-oxoethoxy]butanal	SUGUCCZVDDJYES	O=CC(OC(C(C=O)O)CO)O	C6H10O6	0.0		
532413094	2-hydroxyvinylphosphonic acid	GLJXKQWMIGNRJN	OC=CP(=O)(O)O	C2H5O4P	0.0		
533148854	1-amino-2-phenylethene-1,2-diol	ABIFEULUKBOKQJ	OC(=C(O)N)c1ccccc1	C8H9NO2	0.0		
533193179	3,4-dihydroxybut-3-en-2-one	UJQSQFIDYGKTJQ	CC(=O)C(=CO)O	C4H6O3	0.0		
533364278	(2S)-2-amino-3-[4-(4-hydroxybenzoyl)oxyphenyl]propanoic acid	YVYXQUTZASIIIA	OC(=O)C(Cc1ccc(cc1)OC(=O)c1ccc(cc1)O)N	C16H15NO5	0.0		
534553439	(2S,3S)-3-vinyloxirane-2-carboxylic acid	COCRVBZSOJUNQK	C=CC1OC1C(=O)O	C5H6O3	0.0		
534591167	(E)-2,3-dihydroxypent-2-enedioic acid	PBVIVBYEASBSBZ	OC(=O)CC(=C(C(=O)O)O)O	C5H6O6	0.0		
536238034	(2S)-2-formamido-3-(1-formylindol-3-yl)propanoic acid	AQCVMNRVQHBBTG	O=CNC(C(=O)O)Cc1cn(c2c1cccc2)C=O	C13H12N2O4	0.0		
541441140	5-(1-carboxylatoethenoxy)-6-oxo-1-cyclohexa-1,3-dienecarboxylate	QRMDWNYKIBECAX	C=C(C(=O)[O-])OC1C=CC=C(C1=O)C(=O)[O-]	C10H6O6--	-2.0		
542558653	1-amino-2-phenylethenol	HOEVXZCEHKEQNY	NC(=Cc1ccccc1)O	C8H9NO	0.0		
546367089	(2S)-2-[(2-amino-1,1-dihydroxyethyl)amino]-3-hydroxypropanoic acid	PRFOTVDYMIRJMG	OCC(C(=O)O)NC(CN)(O)O	C5H12N2O5	0.0		
550655021	3-amino-6-oxohexanoic acid	POFYGIONDLYURH	O=CCCC(CC(=O)O)N	C6H11NO3	0.0		
569022096	4-(3-amino-2-hydroxypropyl)phenol	HFFJJYNETGILMV	NCC(Cc1ccc(cc1)O)O	C9H13NO2	0.0		
585587644	2-amino-4-oxo-5-phenylpentanoic acid	MOQYGMQPFWBOJW	NC(C(=O)O)CC(=O)Cc1ccccc1	C11H13NO3	0.0		
613170513	4,5-dioxo-5-phenylpentanoic acid	UVSXXISHUFDZCG	OC(=O)CCC(=O)C(=O)c1ccccc1	C11H10O4	0.0		
621253095	3,3-dihydroxy-2-oxopropanal	SUTZNYCXJYTVFW	O=CC(=O)C(O)O	C3H4O4	0.0		
621353277	2-propyneperoxoic acid	NMHDGKLRKFGNJZ	OOC(=O)C#C	C3H2O3	0.0		
621481620	3-amino-1-hydroxy-2-butanone	PDAQQCYFWKYHSM	CC(C(=O)CO)N	C4H9NO2	0.0		
621497975	3-(3-hydroxyphenyl)-1-(2,4,6-trihydroxyphenyl)propan-1-one	PVMAAGGMFPPXNR	Oc1cccc(c1)CCC(=O)c1c(O)cc(cc1O)O	C15H14O5	0.0		
621508911	2,3-dihydroxy-4-oxopentanal	JLVNMCMGUWUGCO	O=CC(C(C(=O)C)O)O	C5H8O4	0.0		
621611397	2,5-dihydroxy-4-oxopentanal	FPGQBNTYHGMTRG	OC(C=O)CC(=O)CO	C5H8O4	0.0		
621739655	(4-phenoxyphenyl)methanediol	DQNGJZLOOYPZIO	OC(c1ccc(cc1)Oc1ccccc1)O	C13H12O3	0.0		
621955032	5-(hydroxymethyl)oxolane-2,4-dione	ICVAYHRUYSDPHE	OCC1OC(=O)CC1=O	C5H6O4	0.0		
622005053	3-(2-aminoethyl)-6-hydroxy-1-cyclohexa-2,4-dienone	QFKJOGWEMNTREW	NCCC1=CC(=O)C(C=C1)O	C8H11NO2	0.0		
622979010	[(2R,3S,4R,5R)-5-amino-3,4-dihydroxy-6-oxo-2-oxanyl]methyl dihydrogen phosphate	BMFNJBCGYNQCSJ	OC1C(COP(=O)(O)O)OC(=O)C(C1O)N	C6H12NO8P	0.0		
624740447	6-oxocyclohexa-2,4-diene-1-carbaldehyde	UWDPJQDDCIJWTB	O=CC1C=CC=CC1=O	C7H6O2	0.0		
627974599	S-[2-[3-[[(2R)-4-[[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxy-tetrahydrofuran-2-yl]methoxy-hydroxy-phosphoryl]oxy-hydroxy-phosphoryl]oxy-2-hydroxy-3,3-dimethyl-butanoyl]amino]propanoylamino]ethyl] 4-oxobutanethioate	WJQCDDRZANTJDH	O=CCCC(=O)SCCNC(=O)CCNC(=O)C(C(COP(=O)(OP(=O)(OCC1OC(C(C1OP(=O)(O)O)O)n1cnc2c1ncnc2N)O)O)(C)C)O	C25H40N7O18P3S	0.0		
628083206	S-[2-[3-[[(2R)-4-[[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxy-tetrahydrofuran-2-yl]methoxy-hydroxy-phosphoryl]oxy-hydroxy-phosphoryl]oxy-2-hydroxy-3,3-dimethyl-butanoyl]amino]propanoylamino]ethyl] 2,4-dihydroxypentanethioate	WMTIZROLKOPQHU	CC(CC(C(=O)SCCNC(=O)CCNC(=O)C(C(COP(=O)(OP(=O)(OCC1OC(C(C1OP(=O)(O)O)O)n1cnc2c1ncnc2N)O)O)(C)C)O)O)O	C26H44N7O19P3S	0.0		
628085944	S-[2-[3-[[(2R)-4-[[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxy-tetrahydrofuran-2-yl]methoxy-hydroxy-phosphoryl]oxy-hydroxy-phosphoryl]oxy-2-hydroxy-3,3-dimethyl-butanoyl]amino]propanoylamino]ethyl] 2-hydroxy-4-oxo-pentanethioate	WNVLQWHBUPCHQV	O=C(NCCSC(=O)C(CC(=O)C)O)CCNC(=O)C(C(COP(=O)(OP(=O)(OCC1OC(C(C1OP(=O)(O)O)O)n1cnc2c1ncnc2N)O)O)(C)C)O	C26H42N7O19P3S	0.0		
628086010	S-[2-[3-[[(2R)-4-[[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxy-tetrahydrofuran-2-yl]methoxy-hydroxy-phosphoryl]oxy-hydroxy-phosphoryl]oxy-2-hydroxy-3,3-dimethyl-butanoyl]amino]propanoylamino]ethyl] 4-hydroxypentanethioate	WGYLKXICOWIRNH	CC(CCC(=O)SCCNC(=O)CCNC(=O)C(C(COP(=O)(OP(=O)(OCC1OC(C(C1OP(=O)(O)O)O)n1cnc2c1ncnc2N)O)O)(C)C)O)O	C26H44N7O18P3S	0.0		
628114404	(1-hydroxy-2-oxo-propyl) 2-oxopropanoate	NOUUUBJIFPBZMZ	OC(C(=O)C)OC(=O)C(=O)C	C6H8O5	0.0		
628197659	5-[2-[[3-[[(2R)-4-[[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxy-2-oxolanyl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethyl-1-oxobutyl]amino]-1-oxopropyl]amino]ethylthio]-2,5-dioxopentanoic acid	GPFPLNXNGAZMQM	O=C(NCCSC(=O)CCC(=O)C(=O)O)CCNC(=O)C(C(COP(=O)(OP(=O)(OCC1OC(C(C1OP(=O)(O)O)O)n1cnc2c1ncnc2N)O)O)(C)C)O	C26H40N7O20P3S	0.0		
628237480	S-[2-[3-[[(2R)-4-[[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxy-tetrahydrofuran-2-yl]methoxy-hydroxy-phosphoryl]oxy-hydroxy-phosphoryl]oxy-2-hydroxy-3,3-dimethyl-butanoyl]amino]propanoylamino]ethyl] (E)-6-aminohex-2-enethioate	UWMORNRVRUIQPR	NCCCC=CC(=O)SCCNC(=O)CCNC(=O)C(C(COP(=O)(OP(=O)(OCC1OC(C(C1OP(=O)(O)O)O)n1cnc2c1ncnc2N)O)O)(C)C)O	C27H45N8O17P3S	0.0		
628336438	(3S,4S,5R)-2,3,4-trihydroxy-5-(hydroxymethyl)-2-oxolanecarboxaldehyde	GASTVENZHLNOPA	OCC1OC(C(C1O)O)(O)C=O	C6H10O6	0.0		
628354348	[(2R,3R)-3,5-dihydroxy-4-oxo-1-phosphonooxypentan-2-yl] dihydrogen phosphate	JIVHXBDIJQMZMY	OCC(=O)C(C(OP(=O)(O)O)COP(=O)(O)O)O	C5H12O11P2	0.0		
629076506	(2-hydroxyacetyl) 4-hydroxybenzoate	ZBGSTJCKYUFPRT	OCC(=O)OC(=O)c1ccc(cc1)O	C9H8O5	0.0		
629228237	1-(2-hydroxyoxiran-2-yl)ethane-1,2-diol	MNXDADQSMTZCJF	OCC(C1(O)CO1)O	C4H8O4	0.0		
629297350	(2S)-5-[[(2R)-1-(carboxymethylamino)-3-mercapto-1-oxopropan-2-yl]amino]-2-(hydroxymethylamino)-5-oxopentanoic acid	OJGVRWVZHGUOLY	OCNC(C(=O)O)CCC(=O)NC(C(=O)NCC(=O)O)CS	C11H19N3O7S	0.0		
629400073	formyl (2S)-2-amino-3-hydroxy-propanoate	MPQRXBWWUGZOJJ	NC(C(=O)OC=O)CO	C4H7NO4	0.0		
629505404	[(E)-2-aminovinyl]phosphonic acid	AMRYCYKIMYBRAO	NC=CP(=O)(O)O	C2H6NO3P	0.0		
630067963	[(2R,3S,4R,5S)-3,4,5,7-tetrahydroxy-6-oxo-2-phosphonooxy-heptyl] dihydrogen phosphate	QJFCQRJZDKRUFD	OCC(=O)C(C(C(C(OP(=O)(O)O)COP(=O)(O)O)O)O)O	C7H16O13P2	0.0		
630136731	(2S)-2-aminopropaneperoxoic acid	HPRAPTXEGBUDCU	CC(C(=O)OO)N	C3H7NO3	0.0		
630198565	[[(2R,3R,4R,5R)-5-(2,4-dioxo-1-pyrimidinyl)-3-hydroxy-4-phosphonooxy-2-oxolanyl]methoxy-hydroxyphosphoryl] phosphono hydrogen phosphate	OATQDFNIQGUFQP	O=c1ccn(c(=O)[nH]1)C1OC(C(C1OP(=O)(O)O)O)COP(=O)(OP(=O)(OP(=O)(O)O)O)O	C9H16N2O18P4	0.0		
630201445	[[(2R,3S,4R,5R)-5-(4-amino-2-oxo-1-pyrimidinyl)-4-hydroxy-3-phosphonooxy-2-oxolanyl]methoxy-hydroxyphosphoryl] phosphono hydrogen phosphate	KBELQXINNYWHFN	OC1C(OP(=O)(O)O)C(OC1n1ccc(nc1=O)N)COP(=O)(OP(=O)(OP(=O)(O)O)O)O	C9H17N3O17P4	0.0		
630201797	[[(2R,3R,4R,5R)-5-(4-amino-2-oxo-1-pyrimidinyl)-3-hydroxy-4-phosphonooxy-2-oxolanyl]methoxy-hydroxyphosphoryl] phosphono hydrogen phosphate	RYRGQLQKQLFIFS	Nc1ccn(c(=O)n1)C1OC(C(C1OP(=O)(O)O)O)COP(=O)(OP(=O)(OP(=O)(O)O)O)O	C9H17N3O17P4	0.0		
630287688	2,3-dihydroxy-4-oxo-4-phosphonooxybutanoic acid	LMJXSJUJSDMTPR	O=C(C(C(C(=O)O)O)O)OP(=O)(O)O	C4H7O9P	0.0		
630342302	cyano 2-oxopropanoate	JLHOEHFUVDRLHB	CC(=O)C(=O)OC#N	C4H3NO3	0.0		
630538051	4-(1,2-dioxopropoxy)-2-hydroxy-4-oxobutanoic acid	JTAAZAGWTXXXOP	O=C(OC(=O)C(=O)C)CC(C(=O)O)O	C7H8O7	0.0		
630681276	3-[2-[[3-[[(2R)-4-[[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxy-2-oxolanyl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethyl-1-oxobutyl]amino]-1-oxopropyl]amino]ethylthio]-2-hydroxy-3-oxopropanoic acid	LOZMZPIMDDLWRS	O=C(NCCSC(=O)C(C(=O)O)O)CCNC(=O)C(C(COP(=O)(OP(=O)(OCC1OC(C(C1OP(=O)(O)O)O)n1cnc2c1ncnc2N)O)O)(C)C)O	C24H38N7O20P3S	0.0		
630771396	formyl 3-aminopropanoate	ARIKNXVUKIKIHR	NCCC(=O)OC=O	C4H7NO3	0.0		
630854565	formyl 2-oxoacetate	HFVXACGHQSIDIB	O=COC(=O)C=O	C3H2O4	0.0		
631153179	[(2S,3R)-1,3,4-trihydroxybutan-2-yl] dihydrogen phosphate	KZCSGXLFRGFILA	OCC(C(CO)O)OP(=O)(O)O	C4H11O7P	0.0		
631170701	[(2R,3S)-1,3-dihydroxy-4-oxopentan-2-yl] dihydrogen phosphate	ZELDAXBXXURKIW	OCC(C(C(=O)C)O)OP(=O)(O)O	C5H11O7P	0.0		
631324987	[(2R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxy-tetrahydrofuran-2-yl]methyl [hydroxy(phosphonooxy)phosphoryl] phosphono phosphate	XYVLIASPUHOASA	OC1C(COP(=O)(OP(=O)(OP(=O)(O)O)O)OP(=O)(O)O)OC(C1O)n1cnc2c1ncnc2N	C10H17N5O16P4	0.0		
631408987	sulfo 2-aminopropanoate	GKDWVLAIXWUTQF	CC(C(=O)OS(=O)(=O)O)N	C3H7NO5S	0.0		
631472405	(E)-6-hydroxyhex-5-enoic acid	BPDBXVWRMGYSST	OC=CCCCC(=O)O	C6H10O3	0.0		
631776932	N-[(Z)-2-hydroxyvinyl]formamide	IIHPROYKQXKSOO	O=CNC=CO	C3H5NO2	0.0		
632028689	2,3-dihydroxy-4-oxopentanedioic acid	XRFRWSQHMJJNME	OC(C(C(=O)C(=O)O)O)C(=O)O	C5H6O7	0.0		
