R_PR_UID	R_PR_STOICH
1569691628	1 1467880738 + 1 1469442031 + 1 1467865610 + 1 1467865578 <=> 1 1467865592 + 1 1467879801 + 1 1467892306
1569691659	1 1467880753 + 1 1469442031 + 1 1467865610 + 1 1467865578 <=> 1 1467865592 + 1 1467879801 + 1 1467920725
1569692073	1 1467881362 + 1 1469442031 + 1 1467865610 + 1 1467865578 <=> 1 1467865592 + 1 1467879801 + 1 1467892306
1569696042	1 1467891591 + 1 1469442031 + 1 1467865610 + 1 1467865578 <=> 1 1467865592 + 1 1467879801 + 1 1467894519
1569710378	1 1467919787 + 1 1469442031 + 1 1467865610 + 1 1467865578 <=> 1 1467865592 + 1 1467879801 + 1 1467919673
1569712291	1 1467876801 + 1 1467865592 <=> 1 1467865578 + 1 1469442031 + 1 1467868938
1569715196	1 1467975199 + 1 1469442031 + 1 1467865578 <=> 1 1467865592 + 1 1467975209
1569715365	6 1467873516 + 1 1467866633 + 6 1469442031 + 6 1467865578 <=> 6 1467865592 + 7 1467865652 + 7 1467865667 + 1 1467879801 + 1 1467975990
1569715386	1 1467975990 + 2 1469442031 + 2 1467865610 + 2 1467865578 <=> 2 1467865592 + 3 1467879801 + 1 1467976002
1569715570	1 1467975778 + 1 1467865610 + 1 1467865578 <=> 1 1467865592 + 1 1467879801 + 1 1467975787
1569715597	1 1467975862 + 1 1467865610 + 1 1467865578 <=> 1 1467865592 + 1 1467879801 + 1 1467975871
1569715614	1 1467975627 + 1 1467865610 + 1 1467865578 <=> 1 1467865592 + 1 1467879801 + 1 1467975636
1569715640	1 1467975702 + 1 1467865610 + 1 1467865578 <=> 1 1467865592 + 1 1467879801 + 1 1467975711
1569715770	1 1467877057 + 5 1467873516 + 7 1467866633 + 9 1469442031 + 9 1467865578 <=> 9 1467865592 + 13 1467865652 + 12 1467865667 + 5 1467879801 + 1 1467975778
1569715793	1 1467877057 + 5 1467873516 + 7 1467866633 + 9 1469442031 + 9 1467865578 <=> 9 1467865592 + 13 1467865652 + 12 1467865667 + 6 1467879801 + 1 1467975862
1569715816	5 1467873516 + 1 1467872984 + 7 1467866633 + 9 1469442031 + 9 1467865578 <=> 9 1467865592 + 13 1467865652 + 12 1467865667 + 5 1467879801 + 1 1467975627
1569715839	5 1467873516 + 1 1467872984 + 7 1467866633 + 9 1469442031 + 9 1467865578 <=> 9 1467865592 + 13 1467865652 + 12 1467865667 + 6 1467879801 + 1 1467975702
1569716379	1 1467876496 + 1 1469442031 + 1 1467865610 + 1 1467865578 <=> 1 1467865592 + 1 1467870413 + 1 1467879801
1569716452	1 1467919099 + 2 1467865592 <=> 2 1467865578 + 1 1469442031 + 1 1467913119
1569722481	1 1468002051 + 1 1469442031 + 1 1467865610 + 1 1467865578 <=> 1 1467865592 + 1 1467879801 + 1 1468002062
1569726554	1 1467874758 + 1 1469442031 + 1 1467865610 + 1 1467865578 <=> 1 1467865592 + 1 1467872967 + 1 1467879801
1569730045	1 1467902576 + 1 1467865592 <=> 1 1467865578 + 1 1467902265
1569736296	1 1467867945 + 1 1467865610 + 1 1467865578 <=> 1 1467865592 + 1 1467874758 + 1 1467879801
1569738311	1 1467870991 + 1 1467867342 + 1 1469442031 + 1 1467865578 <=> 1 1467865592 + 1 1467879801 + 1 1468025909
1569751726	1 1467883851 + 1 1467865592 <=> 1 1467865578 + 1 1469442031 + 1 1468045959
1569754567	1 1467868313 + 1 1469442031 + 1 1467865610 + 1 1467865578 <=> 1 1467865592 + 1 1467879801 + 1 1468019889
1569755448	1 1467871718 + 1 1467865592 <=> 1 1467865578 + 1 1469442031 + 1 1467892841
1569756392	1 1468018145 + 2 1469442031 + 2 1467865610 + 2 1467865578 <=> 2 1467865592 + 1 1467876057 + 3 1467879801
1569759231	1 1467920378 + 1 1469442031 + 1 1467865610 + 1 1467865578 <=> 1 1467865592 + 1 1467879801 + 1 1468050554
1569802746	1 1467920622 + 1 1467865592 <=> 1 1467865578 + 1 1467886864
1569807447	1 1467879801 + 1 1467867962 + 1 1467865592 <=> 1 1467865578 + 2 1469442031 + 1 1467871653
1569809075	1 352926635 + 1 1469442031 + 1 1467865610 + 1 1467865578 <=> 1 1467865592 + 1 1467879801 + 1 213777292
1569814334	1 1467900662 + 1 1467865592 <=> 1 1467865578 + 1 1469442031 + 1 1467873274
1569816244	1 1467866617 + 1 1467865767 + 1 1467865578 <=> 1 1467865592 + 1 1467866492 + 1 1469442031 + 1 1467880753 + 1 1467907679 + 1 1468004899
1569816349	7 1467866633 + 14 1469442031 + 1 1467865841 + 14 1467865578 <=> 14 1467865592 + 8 1467865652 + 7 1467865667 + 1 1467868847 + 6 1467879801
1569816410	7 1467866633 + 14 1469442031 + 1 1467865841 + 14 1467865578 <=> 14 1467865592 + 7 1467865652 + 7 1467865667 + 1 1467867611 + 7 1467879801
1569819077	1 1467875020 + 1 1467865592 <=> 1 1467865578 + 1 1467865667 + 1 1467866617
1569819879	1 1467970739 + 1 1467865592 <=> 1 1467865578 + 1 1469442031 + 1 1467873229
1569819901	1 1467871442 + 1 1467865592 <=> 1 1467865578 + 1 1469442031 + 1 1468407417
1569820983	1 1467868924 + 1 1467865592 <=> 1 1467865578 + 1 1467865667 + 1 1467878443
1569823811	1 1467865812 + 1 1467865652 + 1 1467865592 <=> 1 1467865578 + 1 1467865667 + 1 1467865841
1569826221	1 1467867543 + 1 1467865592 <=> 1 1467865578 + 1 1467865667 + 1 1467865812
1569827871	1 1467868971 + 1 1467865592 <=> 1 1467865578 + 1 1469442031 + 1 1468008547
