2024-06-14 12:18:48,181 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.02 sec
2024-06-14 12:18:48,204 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.02 sec
2024-06-14 12:18:48,238 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.02 sec
2024-06-14 12:18:48,258 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.02 sec
2024-06-14 12:18:48,282 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.01 sec
2024-06-14 12:18:48,310 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.03 sec
2024-06-14 12:18:48,333 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.01 sec
2024-06-14 12:18:48,355 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.02 sec
2024-06-14 12:18:48,378 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.01 sec
2024-06-14 12:18:48,391 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.01 sec
2024-06-14 12:18:48,424 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.02 sec
2024-06-14 12:18:48,451 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.03 sec
2024-06-14 12:18:48,487 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.03 sec
2024-06-14 12:18:48,501 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.01 sec
2024-06-14 12:18:48,523 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.01 sec
2024-06-14 12:18:48,533 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.01 sec
2024-06-14 12:18:48,556 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.01 sec
2024-06-14 12:18:48,586 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.03 sec
2024-06-14 12:18:48,627 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.03 sec
2024-06-14 12:18:48,666 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.04 sec
2024-06-14 12:18:48,689 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.01 sec
2024-06-14 12:18:48,711 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.02 sec
2024-06-14 12:18:48,746 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.03 sec
2024-06-14 12:18:48,771 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.02 sec
2024-06-14 12:18:48,814 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.03 sec
2024-06-14 12:18:48,851 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.04 sec
2024-06-14 12:18:48,884 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.02 sec
2024-06-14 12:18:48,914 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.03 sec
2024-06-14 12:18:48,960 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.04 sec
2024-06-14 12:18:48,993 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.03 sec
2024-06-14 12:18:49,016 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.01 sec
2024-06-14 12:18:49,030 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.01 sec
2024-06-14 12:18:49,050 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.01 sec
2024-06-14 12:18:49,060 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.01 sec
2024-06-14 12:18:49,083 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.01 sec
2024-06-14 12:18:49,103 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.02 sec
2024-06-14 12:18:49,126 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.01 sec
2024-06-14 12:18:49,139 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.01 sec
2024-06-14 12:18:49,161 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.01 sec
2024-06-14 12:18:49,174 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.01 sec
2024-06-14 12:18:49,197 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.01 sec
2024-06-14 12:18:49,211 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.01 sec
2024-06-14 12:18:49,240 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.02 sec
2024-06-14 12:18:49,263 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.02 sec
2024-06-14 12:18:49,304 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.03 sec
2024-06-14 12:18:49,338 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.03 sec
2024-06-14 12:18:49,362 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.01 sec
2024-06-14 12:18:49,376 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.01 sec
2024-06-14 12:18:49,412 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.03 sec
2024-06-14 12:18:49,444 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.03 sec
2024-06-14 12:18:49,508 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.05 sec
2024-06-14 12:18:49,539 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.03 sec
2024-06-14 12:18:49,574 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.02 sec
2024-06-14 12:18:49,597 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.02 sec
2024-06-14 12:18:49,619 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.01 sec
2024-06-14 12:18:49,632 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.01 sec
2024-06-14 12:18:49,664 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.02 sec
2024-06-14 12:18:49,708 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.04 sec
2024-06-14 12:18:49,739 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.02 sec
2024-06-14 12:18:49,754 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.01 sec
2024-06-14 12:18:49,779 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.02 sec
2024-06-14 12:18:49,805 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.03 sec
2024-06-14 12:18:49,828 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.01 sec
2024-06-14 12:18:49,841 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.01 sec
2024-06-14 12:18:49,863 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.01 sec
2024-06-14 12:18:49,876 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.01 sec
2024-06-14 12:18:49,898 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.01 sec
2024-06-14 12:18:49,921 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.02 sec
2024-06-14 12:18:49,947 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.02 sec
2024-06-14 12:18:49,976 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.03 sec
2024-06-14 12:18:50,011 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.02 sec
2024-06-14 12:18:50,040 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.03 sec
2024-06-14 12:18:50,064 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.01 sec
2024-06-14 12:18:50,077 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.01 sec
2024-06-14 12:18:50,108 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.02 sec
2024-06-14 12:18:50,121 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.01 sec
2024-06-14 12:18:50,143 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.01 sec
2024-06-14 12:18:50,172 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.03 sec
2024-06-14 12:18:50,194 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.01 sec
2024-06-14 12:18:50,216 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.02 sec
2024-06-14 12:18:50,256 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.03 sec
2024-06-14 12:18:50,294 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.04 sec
2024-06-14 12:18:50,319 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.01 sec
2024-06-14 12:18:50,341 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.02 sec
2024-06-14 12:18:50,364 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.01 sec
2024-06-14 12:18:50,402 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.04 sec
2024-06-14 12:18:50,425 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.01 sec
2024-06-14 12:18:50,452 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.03 sec
2024-06-14 12:18:50,483 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.02 sec
2024-06-14 12:18:50,506 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.02 sec
2024-06-14 12:18:50,538 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.02 sec
2024-06-14 12:18:50,568 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.03 sec
2024-06-14 12:18:50,591 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.01 sec
2024-06-14 12:18:50,604 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.01 sec
2024-06-14 12:18:50,636 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.02 sec
2024-06-14 12:18:50,666 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.03 sec
2024-06-14 12:18:50,688 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.01 sec
2024-06-14 12:18:50,702 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.01 sec
2024-06-14 12:18:50,734 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.02 sec
2024-06-14 12:18:50,770 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.04 sec
2024-06-14 12:18:50,811 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.03 sec
2024-06-14 12:18:50,839 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.03 sec
2024-06-14 12:18:50,865 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.02 sec
2024-06-14 12:18:50,885 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.02 sec
2024-06-14 12:18:50,905 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.01 sec
2024-06-14 12:18:50,932 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.03 sec
2024-06-14 12:18:50,964 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.02 sec
2024-06-14 12:18:50,994 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.03 sec
2024-06-14 12:18:51,016 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.01 sec
2024-06-14 12:18:51,027 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.01 sec
2024-06-14 12:18:51,063 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.03 sec
2024-06-14 12:18:51,094 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.03 sec
2024-06-14 12:18:51,114 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.01 sec
2024-06-14 12:18:51,125 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.01 sec
2024-06-14 12:18:51,147 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.01 sec
2024-06-14 12:18:51,161 - thermomodel_Model - DEBUG - 'slim_optimize' ((), {}) 0.01 sec
