,LCSBID
cys__L_c,1467866836
cys__L_e,1467866836
cys__L_p,1467866836
cyst__L_c,1467872129
cystrna_c,
cytd_c,1467871323
cytd_e,1467871323
cytd_p,1467871323
dad_2_c,1467872331
dad_2_e,1467872331
dad_2_p,1467872331
dad_5_c,1467907679
dadp_c,1467868301
damp_c,1467870079
damp_e,1467870079
damp_p,1467870079
dann_c,1467877103
datp_c,1467867300
db4p_c,1468002470
dc2coa_c,1467908174
dcaACP_c,
dca_c,
dca_e,
dca_p,
dcacoa_c,1467908162
dcamp_c,1467898532
dcdp_c,1467873724
dcmp_c,2594275428
dcmp_e,2594275428
dcmp_p,2594275428
dctp_c,1467871133
dcyt_c,1467875609
dcyt_e,1467875609
dcyt_p,1467875609
dd2coa_c,1467894642
ddcaACP_c,
ddca_c,
ddca_e,
ddca_p,
ddcacoa_c,1467883918
ddcap_c,
dgdp_c,1467870093
dgmp_c,1467870104
dgmp_e,1467870104
dgmp_p,1467870104
dgslnt_c,1468032162
dgsn_c,1467869751
dgsn_e,1467869751
dgsn_p,1467869751
dgtp_c,1467869250
dha_c,1467868000
dha_e,1467868000
dha_p,1467868000
dhap_c,1467867028
dhcinnm_c,1467981309
dhf_c,1467870719
dhgly_c,1468004899
dhmpt_c,1467906224
dhmptp_c,1467906370
dhna_c,1467897525
dhnpt_c,1467906224
dhor__S_c,1467869829
dhpmp_c,1467913356
dhpppn_c,1467900196
dhpt_c,2786297674
dhptd_c,1467974276
dhptdn_c,1467911130
didp_c,2594274992
dimp_c,1467915839
dimp_e,1467915839
dimp_p,1467915839
din_c,1467910150
din_e,1467910150
din_p,1467910150
ditp_c,1467879906
dmbzid_c,1467893838
dmlz_c,1467902278
dmpp_c,1467868655
dms_c,1467872515
dms_e,1467872515
dms_p,1467872515
dmso_c,1467967456
dmso_e,1467967456
dmso_p,1467967456
dnad_c,1467875359
dopa_e,1467898292
dopa_p,1467898292
doxrbcn_e,1467882393
doxrbcn_p,1467882393
dpcoa_c,1467875621
dsbaox_p,
dsbard_p,
dsbcox_p,
dsbcrd_p,
dsbdox_c,
dsbdrd_c,
dsbgox_p,
dsbgrd_p,
dscl_c,1467888947
dtbt_c,1467884631
dtdp4aaddg_c,1467914186
dtdp4addg_c,1467901797
dtdp4d6dg_c,1467873553
dtdp4d6dm_c,1467873553
dtdp_c,1467870119
dtdpglu_c,1467875183
dtdprmn_c,1467894335
dtmp_c,1467870132
dtmp_e,1467870132
dtmp_p,1467870132
dttp_c,1467871146
dudp_c,1467879916
dump_c,1467870149
dump_e,1467870149
dump_p,1467870149
duri_c,1467871955
duri_e,1467871955
duri_p,1467871955
dutp_c,1467871159
dxyl5p_c,1467970452
dxyl_c,1467916267
e4p_c,1467869180
eca2und_p,
eca3und_p,
eca4colipa_e,
eca4colipa_p,
eca4und_p,
egmeACP_c,
eig3p_c,1467904668
enlipa_e,
enlipa_p,
enter_c,1467912548
enter_e,1467912548
enter_p,1467912548
epmeACP_c,
etha_c,1467868075
etha_e,1467868075
etha_p,1467868075
ethso3_c,1468160952
ethso3_e,1468160952
ethso3_p,1468160952
etoh_c,1467871246
etoh_e,1467871246
etoh_p,1467871246
f1p_c,1467877616
f6p_c,1468057101
f6p_e,1468057101
f6p_p,1468057101
fad_c,1467865731
fadh2_c,1467879956
fald_c,1467866414
fald_e,1467866414
fald_p,1467866414
fc1p_c,1467877663
fcl__L_c,1467875411
fdp_c,1467870021
fe2_c,1467995313
fe2_e,1467995313
fe2_p,1467995313
fe3_c,1467995326
fe3_e,1467995326
fe3_p,1467995326
fe3dcit_e,1467916091
fe3dcit_p,1467916091
fe3dhbzs_c,
fe3dhbzs_e,
fe3dhbzs_p,
fe3hox_c,
fe3hox_e,
fe3hox_p,
fe3hox_un_c,
fe3hox_un_e,
fe3hox_un_p,
fecrm_c,
fecrm_e,
fecrm_p,
fecrm_un_c,
fecrm_un_e,
fecrm_un_p,
feenter_c,1467916099
feenter_e,1467916099
feenter_p,1467916099
feoxam_c,
feoxam_e,
feoxam_p,
feoxam_un_c,
feoxam_un_e,
feoxam_un_p,
fgam_c,1467902561
flxr_c,
flxso_c,
fmettrna_c,
fmn_c,1467866330
fmnh2_c,1467884067
for_c,1467866289
for_e,1467866289
for_p,1467866289
forcoa_c,1467874666
fpram_c,1468451849
fprica_c,1467905230
frdp_c,1467871046
fru_c,1467868822
fru_e,1467868822
fru_p,1467868822
frulys_c,1468010852
frulys_e,1468010852
frulys_p,1468010852
frulysp_c,
fruur_c,1467872320
fruur_e,1467872320
fruur_p,1467872320
fuc__L_c,1467871718
fuc__L_e,1467871718
fuc__L_p,1467871718
fum_c,1556657558
fum_e,1556657558
fum_p,1556657558
fusa_e,1467920451
fusa_p,1467920451
g1p_c,1467866916
g1p_e,1467866916
g1p_p,1467866916
g3p_c,1467867117
g3pc_c,1467873383
g3pc_e,1467873383
g3pc_p,1467873383
g3pe_c,1467878992
g3pe_e,1467878992
g3pe_p,1467878992
g3pg_c,1467895015
g3pg_e,1467895015
g3pg_p,1467895015
g3pi_c,1467878908
g3pi_e,1467878908
g3pi_p,1467878908
g3ps_c,1469340755
g3ps_e,1469340755
g3ps_p,1469340755
g6p_c,1467866763
g6p_e,1467866763
g6p_p,1467866763
gagicolipa_c,2604447601
