,LCSBID
s_0502_m,1468211535
s_0507_er,1468132043
s_0509_c,
s_0510_ce,1467873982
s_0511_ce,1467867073
s_0511_c,1467867073
s_0511_e,1467867073
s_0514_c,1467872625
s_0515_c,1467868880
s_0516_c,1467870747
s_0516_m,1467870747
s_0522_c,1467867671
s_0522_e,1467867671
s_0522_m,1467867671
s_0522_p,1467867671
s_0526_c,1467866276
s_0526_m,1467866276
s_0529_c,1467865652
s_0529_er,1467865652
s_0529_lp,1467865652
s_0529_m,1467865652
s_0529_n,1467865652
s_0529_p,1467865652
s_0538_c,1467894939
s_0539_c,1467866360
s_0539_m,1467866360
s_0542_c,1467893904
s_0543_c,1467871323
s_0543_e,1467871323
s_0545_c,1467870314
s_0545_e,1467870314
s_0547_c,1467873229
s_0548_c,1467867962
s_0548_e,1467867962
s_0550_c,1467904668
s_0551_c,1467869180
s_0551_m,1467869180
s_0553_c,1467866805
s_0553_e,1467866805
s_0555_c,1467870021
s_0556_c,1467877616
s_0557_c,1467866662
s_0558_c,1467865936
s_0558_e,1467865936
s_0560_e,1467868103
s_0561_c,1467870443
s_0561_e,1467870443
s_0563_c,1467865936
s_0563_e,1467865936
s_0563_v,1467865936
s_0567_c,1467866916
s_0568_c,1467866763
s_0570_c,1467872492
s_0571_c,1467865936
s_0571_e,1467865936
s_0573_c,1467866916
s_0574_c,1467866763
s_0575_c,1467867163
s_0575_e,1467867163
s_0577_c,1467868222
s_0578_c,1467867962
s_0578_e,1467867962
s_0580_c,1467869501
s_0581_c,1467868222
s_0582_c,1467868301
s_0582_n,1467868301
s_0584_c,1467870079
s_0584_m,1467870079
s_0586_c,1467867300
s_0587_c,1467873724
s_0587_n,1467873724
s_0589_c,1467868718
s_0590_c,1467871133
s_0591_c,1467875359
s_0591_n,1467875359
s_0595_c,1467881636
s_0595_e,1467881636
s_0595_p,1467881636
s_0605_p,1467908162
s_0606_lp,1467903462
s_0607_c,1467916578
s_0608_c,1467886730
s_0608_n,1467886730
s_0610_c,1467875609
s_0610_e,1467875609
s_0612_c,1467884631
s_0613_c,1467870093
s_0613_n,1467870093
s_0615_c,1467870104
s_0615_m,1467870104
s_0617_c,1467869250
s_0618_c,1467879896
s_0620_er,1467867772
s_0625_c,1467870719
s_0625_m,1467870719
s_0627_m,1467872504
s_0628_m,1467892696
s_0629_c,1467867028
s_0629_lp,1467867028
s_0629_m,1467867028
s_0633_c,1467865687
s_0633_lp,1467865687
s_0633_m,1467865687
s_0633_n,1467865687
s_0633_p,1467865687
s_0639_c,1467879906
s_0640_lp,1468185745
s_0641_lp,1468185825
s_0642_c,1467870327
s_0644_er,1467879115
s_0645_c,1467867018
s_0645_er,1467867018
s_0647_c,1467870119
s_0649_c,1467870132
s_0650_c,1467871146
s_0650_e,1467871146
s_0652_c,1467879916
s_0652_n,1467879916
s_0654_c,1467870149
s_0654_n,1467870149
s_0656_c,1467871159
s_0657_c,1468004597
s_0657_e,1468004597
s_0662_c,1467909472
s_0662_er,1467909472
s_0664_c,1468004609
s_0665_ce,1467882645
s_0665_c,1467882645
s_0665_er,1467882645
s_0665_e,1467882645
s_0665_lp,1467882645
s_0670_c,1468185500
s_0672_c,1569603116
s_0677_c,1467893562
s_0677_m,1467893562
s_0677_p,1467893562
s_0680_c,1467871246
s_0680_e,1467871246
s_0680_m,1467871246
s_0683_c,1467868075
s_0683_e,1467868075
s_0685_c,1467875274
s_0685_e,1467875274
s_0687_c,1467865731
s_0687_m,1467865731
s_0689_c,1467879956
s_0689_m,1467879956
s_0190_lp,1467871046
s_0694_c,1467867728
s_0699_ce,1467903592
s_0699_c,1467903592
s_0699_e,1467903592
s_0699_lp,1467903592
s_0709_m,1467867221
s_0710_m,1467867230
s_0712_m,1467865953
s_0713_m,1467895146
s_0714_c,1467866330
s_0714_e,1467866330
s_0714_m,1467866330
s_0717_c,1467884067
s_0719_c,1468387639
s_0719_e,1468387639
s_0721_c,1467866414
s_0722_c,1467866289
s_0722_e,1467866289
s_0722_m,1467866289
s_0725_c,1467867176
s_0725_e,1467867176
s_0725_m,1467867176
s_0734_c,1467869810
s_0734_e,1467869810
s_0734_m,1467869810
s_0739_c,1467865994
s_0739_g,1467865994
s_0739_m,1467865994
s_0739_n,1467865994
s_0743_c,1467866821
s_0743_g,1467866821
s_0745_c,1467869865
s_0189_lp,1467870003
s_0747_c,1467887688
s_0748_c,1467892803
s_0748_m,1467892803
s_0750_c,1467866214
s_0750_e,1467866214
s_0750_m,1467866214
s_0750_v,1467866214
s_0754_c,1467867240
s_0754_e,1467867240
s_0754_m,1467867240
s_0757_c,1467888661
s_0764_c,1467867117
s_0765_c,1467867087
s_0765_e,1467867087
s_0767_c,1467866778
s_0767_lp,1467866778
s_0767_m,1467866778
s_0771_c,1467868000
s_0773_c,1467867976
s_0773_v,1467867976
s_0775_c,1467869079
s_0775_e,1467869079
s_0775_m,1467869079
s_0779_c,1467866177
s_0779_e,1467866177
s_0779_p,1467866177
s_0782_c,1467867475
s_0782_g,1467867475
s_0785_c,1467866127
s_0785_m,1467866127
s_0787_c,1467868747
s_0787_e,1467868747
s_0787_m,1467868747
s_0790_c,1467870385
s_0790_e,1467870385
s_0790_m,1467870385
s_0793_ce,1469442031
s_0793_c,1469442031
s_0793_er,1469442031
s_0793_e,1469442031
s_0793_g,1469442031
s_0793_lp,1469442031
s_0793_m,1469442031
s_0793_n,1469442031
s_0793_p,1469442031
s_0793_v,1469442031
s_0803_c,1467879801
s_0803_er,1467879801
s_0803_e,1467879801
s_0803_g,1467879801
s_0803_m,1467879801
s_0803_n,1467879801
s_0803_p,1467879801
s_0803_v,1467879801
s_0811_m,1468003528
s_0812_m,1468003536
s_0813_lp,1468185753
s_0814_lp,1468185785
s_0815_lp,1467901440
s_0816_c,1468185453
s_0816_er,1468185453
s_0816_p,1468185453
s_0823_p,1467908137
s_0825_er,1467871850
s_0825_e,1467871850
s_0829_lp,1469435421
s_0830_lp,1467878968
s_0830_m,1467878968
s_0832_c,1467892810
s_0832_m,1467892810
s_0834_m,1467879150
s_0834_n,1467879150
s_0836_m,1467911260
s_0837_c,1467865888
s_0837_m,1467865888
s_0837_n,1467865888
s_0837_p,1467865888
s_0841_c,1467869221
s_0843_c,1467869030
s_0843_e,1467869030
s_0845_lp,1468185761
